xup,zup,xlow,zlow
385.109249,-18.800955,385.109249,-18.800955
385.124235,-17.971358,385.139021,-19.626518
385.324598,-16.470464,385.460422,-21.098662
386.031104,-14.645211,386.370954,-22.821971
387.535274,-12.895415,387.86547,-24.590963
389.82254,-11.595075,389.888535,-26.261971
392.597,-10.69736,392.347757,-27.808287
395.691795,-10.003,395.162987,-29.24092
399.054147,-9.45034,398.291188,-30.555573
402.657816,-9.0332,401.686809,-31.79012
406.480218,-8.715212,405.330877,-32.935222
410.506221,-8.486894,409.209296,-33.978675
414.724255,-8.348516,413.298208,-34.952724
419.124,-8.297502,417.586087,-35.856511
423.696423,-8.330797,422.062209,-36.696833
428.434227,-8.444956,426.72279,-37.442091
433.330299,-8.637888,431.550612,-38.154914
438.378547,-8.907869,436.544267,-38.797124
443.574091,-9.244544,441.698301,-39.366482
448.911743,-9.651595,447.006053,-39.869303
454.388082,-10.115509,452.459489,-40.340475
459.998178,-10.64557,458.053843,-40.790941
465.738546,-11.240091,463.792581,-41.10527
471.605358,-11.898626,469.668129,-41.324752
477.595434,-12.620622,475.67521,-41.479789
483.705944,-13.403576,481.810139,-41.571092
489.934176,-14.24662,488.069648,-41.569826
496.276871,-15.152373,494.444389,-41.296926
502.730757,-16.124499,500.933234,-40.909673
509.293122,-17.166743,507.529629,-40.38126
515.959663,-18.286672,514.22968,-39.720674
522.724652,-19.502516,521.032278,-38.953314
529.584296,-20.82125,527.935998,-38.091271
536.534515,-22.248914,534.945603,-37.195021
543.574862,-23.773696,542.077667,-36.416047
550.700198,-25.408591,549.337455,-35.867115
557.905505,-27.161393,556.715023,-35.524607
565.182886,-29.053243,564.202594,-35.379716
572.524219,-31.10145,571.792962,-35.435035
579.927142,-33.29995,579.478576,-35.728096
587.247249,-35.995824,587.247249,-35.995824
