pos,cd,cl,cm
0.0,0.09813151244297158,0.6374889291180029,0.2591494751444894
0.0247,0.07160433626688875,0.6624131279881103,0.25548429634420766
0.0495,0.05296893615798757,0.6927014748286012,0.24441014297705196
0.0742,0.044765506245572205,0.7263912028845908,0.22411124988918688
0.0972,0.03896572743283384,0.7586196297252363,0.19694446936182247
0.1202,0.032987676588197734,0.7935345364271303,0.16545401764502563
0.1431,0.02823862009400239,0.8275691075454539,0.1284935209535277
0.1661,0.02394866696908588,0.8644313223632871,0.08628235652112257
0.1891,0.020550651893195153,0.9062882712335004,0.038343490147213666
0.2121,0.015938892702216653,0.9498433035178878,-0.014358226642499302
0.2351,0.0163540309577473,0.994786644857932,-0.06884483216413739
0.257,0.008815371680604419,0.9972361682746578,-0.13398258098380156
0.2789,0.008888388868933696,1.0006959378866807,-0.20270137754733925
0.3008,0.00767735576899806,1.0025643804835283,-0.2723205262470723
0.3227,0.005767017189053748,1.0027685940018607,-0.3411192680107964
0.3446,0.0032413606578660936,0.9995473397782632,-0.4087149373464762
0.3665,0.0015711030116051725,0.9968508241278854,-0.47645381860582614
0.3884,8.114771544478344e-05,0.9942564539105447,-0.5452005237708349
0.4103,-0.0007621925937782645,0.9913696919673805,-0.613423410211414
0.4323,-0.0019349648402345807,0.9837177862432523,-0.67811798433743
0.4542,-0.0041501986943981856,0.9699427461771659,-0.7362891169731002
0.4761,-0.0051919882045151425,0.9497891655941594,-0.7873098293870008
0.498,-0.006742568298806949,0.9198007822934202,-0.8266016328713717
0.5199,-0.007248711689114375,0.8799113853184944,-0.8532908158233812
0.5418,-0.007720007647439242,0.8146444624314513,-0.8469569435833078
0.5637,-0.006447433789706827,0.6373189707917959,-0.7058144601292955
0.5857,-0.0034795605753410435,0.3878519926680418,-0.45483650271562925
