xup,zup,xlow,zlow
557.7298975,1.267277144,557.7298975,1.267277144
557.7785722,1.629273751,557.8166712,0.919050745
558.0907811,2.215926087,558.1966761,0.382444133
558.6868243,2.840165498,558.8904933,-0.119348668
559.5316462,3.417514278,559.8016878,-0.567564085
560.5798436,3.917297847,560.8810905,-0.971095421
561.798814,4.322726427,562.1006891,-1.340736198
563.158567,4.643561422,563.4427755,-1.685126302
564.6368856,4.903193767,564.8946303,-2.013672237
566.2189068,5.128471335,566.4483603,-2.325394155
567.8967825,5.326064107,568.0964519,-2.626639971
569.6644827,5.499697514,569.8335778,-2.918291677
571.5171767,5.651830037,571.6552491,-3.200740999
573.4507863,5.7836316,573.5577654,-3.473283897
575.4618182,5.896029563,575.5380615,-3.733742545
577.5471792,5.989297948,577.5935673,-3.978171525
579.7041719,6.06234631,579.7221977,-4.201218058
581.9303139,6.116094842,581.921488,-4.399808753
584.2233007,6.149482287,584.1892958,-4.568574166
586.5812195,6.162679943,586.523518,-4.705919957
589.0019739,6.15400894,588.9218914,-4.808183179
591.4838627,6.123816511,591.3823088,-4.87630416
594.0252002,6.070929588,593.9027719,-4.909521301
596.6244381,5.99440756,596.4815211,-4.907717966
599.279985,5.892615169,599.1166087,-4.871008601
601.9903926,5.764167657,601.8065211,-4.800280644
604.7542938,5.606968284,604.5496857,-4.695402567
607.5700473,5.418067981,607.344301,-4.54780426
610.4360972,5.193757254,610.1883712,-4.351791772
613.3506778,4.928337708,613.0797163,-4.100226178
616.3115552,4.613733404,616.0156115,-3.786232241
619.3157322,4.238474689,618.9937735,-3.405907523
622.360679,3.796679189,622.0122907,-2.960676894
625.4446094,3.290972792,625.0760768,-2.492946367
628.5666138,2.724249623,628.1914452,-2.051472325
631.7257361,2.101527947,631.3621968,-1.674279984
634.9211295,1.424110568,634.5898775,-1.405908498
638.1518443,0.694941253,637.8720104,-1.292728022
641.4157157,-0.090745566,641.2000653,-1.354251531
644.708264,-0.9446021,644.5588563,-1.651669634
647.9360535,-2.09306579,647.9360535,-2.09306579
