xup,zup,xlow,zlow
467.706818,-12.503574,467.706818,-12.503574
467.780523,-12.024358,467.817427,-12.967491
468.199529,-11.247961,468.313996,-13.686494
469.000014,-10.426675,469.229706,-14.361923
470.13067,-9.671556,470.434104,-14.970132
471.530248,-9.02196,471.862566,-15.521418
473.155652,-8.5011,473.477867,-16.029369
474.966653,-8.093871,475.256131,-16.505876
476.934317,-7.76822,477.180691,-16.962059
479.039428,-7.491331,479.240641,-17.398135
481.27147,-7.252278,481.426157,-17.821463
483.622547,-7.046174,483.730081,-18.233196
486.086222,-6.869818,486.146516,-18.63382
488.657113,-6.721475,488.670499,-19.022307
491.330601,-6.600055,491.298018,-19.395783
494.102488,-6.505144,494.025645,-19.749481
496.969403,-6.438187,496.850608,-20.075362
499.927902,-6.397469,499.769937,-20.369593
502.974913,-6.385168,502.780709,-20.625684
506.107826,-6.400506,505.88018,-20.840323
509.324058,-6.445536,509.06533,-21.009856
512.621175,-6.520304,512.333428,-21.134745
515.996971,-6.625944,515.681731,-21.214007
519.449308,-6.763867,519.107967,-21.24716
522.97618,-6.935928,522.609552,-21.235142
526.575538,-7.144352,526.1845,-21.178702
530.245485,-7.391675,529.83069,-21.077488
533.984006,-7.681733,533.545835,-20.920429
537.788955,-8.019514,537.327258,-20.699773
541.657699,-8.412517,541.172302,-20.405719
545.587143,-8.871524,545.077516,-20.029344
549.573375,-9.412265,549.039697,-19.565298
553.612895,-10.041284,553.056425,-19.016047
557.70336,-10.756319,557.133514,-18.437145
561.843425,-11.552379,561.278864,-17.893913
566.032145,-12.423858,565.496816,-17.436893
570.268241,-13.36814,569.78889,-17.12497
574.550661,-14.381918,574.151259,-17.020074
578.876253,-15.470998,578.572208,-17.147881
583.239052,-16.651302,583.030829,-17.589431
587.511873,-18.222063,587.511873,-18.222063
