xup,zup,xlow,zlow
347,-23.366856,347,-23.366856
347.017801,-22.381418,347.035365,-24.347502
347.255803,-20.598577,347.417142,-26.096192
348.095027,-18.430448,348.498718,-28.143227
349.881759,-16.351949,350.273982,-30.244528
352.598691,-14.807338,352.677083,-32.229438
355.894339,-13.740985,355.598275,-34.066232
359.570497,-12.916189,358.942351,-35.767987
363.564473,-12.25971,362.658191,-37.3296
367.845098,-11.76421,366.691686,-38.796059
372.385545,-11.386488,371.020299,-40.156271
377.16784,-11.115279,375.627286,-41.395739
382.17824,-10.950907,380.484308,-42.552765
387.404485,-10.89031,385.577673,-43.62633
392.835847,-10.929859,390.894643,-44.624508
398.463655,-11.065463,396.430722,-45.509764
404.279464,-11.294638,402.16546,-46.356491
410.276035,-11.615335,408.097182,-47.119342
416.447571,-12.015256,414.219411,-47.795656
422.787911,-12.498771,420.524234,-48.392932
429.29299,-13.049833,427.002109,-48.952615
435.956953,-13.679466,433.647372,-49.487702
442.77566,-14.385669,440.464142,-49.861078
449.744565,-15.167911,447.443423,-50.12179
456.859887,-16.025536,454.578946,-50.305951
464.118268,-16.955569,461.866333,-50.414405
471.516485,-17.956981,469.301701,-50.412902
479.050667,-19.032881,476.87395,-50.088737
486.716927,-20.187623,484.581737,-49.628738
494.512045,-21.425655,492.417276,-49.001061
502.430908,-22.755964,500.375945,-48.216383
510.466713,-24.200206,508.456424,-47.304873
518.614954,-25.766667,516.65702,-46.280893
526.870784,-27.46252,524.983392,-45.216281
535.233674,-29.273736,533.455227,-44.290976
543.697517,-31.215748,542.078781,-43.638926
552.256355,-33.297817,550.842239,-43.232077
560.900805,-35.545055,559.736364,-43.059968
569.621222,-37.978022,568.752596,-43.125679
578.414797,-40.589514,577.881968,-43.473792
587.11,-43.791813,587.11,-43.791813
