pos,chord,cd,cl,cm
0,80,0.012107531,0.570043994,-0.00250137
15.7895,80,0.012307678,0.568940621,-0.003652373
31.5789,80,0.012341776,0.567784959,-0.003226366
47.3684,80,0.01235959,0.565641951,-0.003109612
63.1579,80,0.012420028,0.562573381,-0.002945973
78.9474,80,0.012493414,0.558506712,-0.002725563
94.7368,80,0.012579242,0.553339951,-0.002440579
110.526,80,0.012674771,0.546936102,-0.002080027
126.316,80,0.012774805,0.539116672,-0.001629134
142.105,80,0.012873219,0.529645209,-0.001068015
157.895,80,0.012959779,0.518210231,-0.000369892
173.684,80,0.013020279,0.504395562,0.000501011
189.474,80,0.013033874,0.487635438,0.001593527
205.263,80,0.012970179,0.467145916,0.002973867
221.053,80,0.012786236,0.441807374,0.004731597
236.842,80,0.012421761,0.409972679,0.006979061
252.632,80,0.011765085,0.369071392,0.009893626
268.421,80,0.010393252,0.313665529,0.014692928
284.211,80,0.012089574,0.228679742,0.015594471
300,80,0.015521827,0.125827865,0.013320253
