evals,gbest,gen,invalid,max,mean,min,std
50,0.70773,0,0,0.87443,0.7457300000000001,0.70773,0.03945299212987527
100,0.70756,1,0,0.90812,0.7461193877551021,0.70756,0.04670020383682137
150,0.70342,2,0,0.83013,0.7241543999999999,0.70342,0.02620683843274499
200,0.70124,3,0,0.88695,0.7212538775510203,0.70124,0.029520030405957912
250,0.69988,4,0,0.89938,0.7170852083333332,0.69988,0.03165553874584873
300,0.6986,5,0,0.8025,0.7134100000000001,0.6986,0.020267114052079538
350,0.6986,6,0,0.85595,0.7128948936170211,0.69895,0.025113274515753146
400,0.69856,7,0,0.76728,0.7085573333333333,0.69856,0.012245068013966546
450,0.69762,8,0,0.72735,0.7050408333333332,0.69762,0.007454003072548049
500,0.69762,9,0,0.74708,0.7034482978723404,0.69766,0.009812613098770667
550,0.69762,10,0,0.77283,0.7024738636363637,0.69771,0.011186084134053894
600,0.69762,11,0,0.79955,0.702491304347826,0.69776,0.014992645096657521
650,0.69762,12,0,0.71096,0.6998993478260869,0.69771,0.0030212626227355296
700,0.69762,13,0,0.72332,0.6995948936170212,0.69768,0.004034455259883517
750,0.69762,14,0,0.74389,0.7004904444444444,0.69763,0.007837945296385776
800,0.69762,15,0,0.7354,0.6991269565217391,0.69762,0.005447845154205162
850,0.69762,16,0,0.71127,0.6987721276595744,0.69763,0.0024101831272970217
900,0.69762,17,0,0.71512,0.6987008695652174,0.69765,0.0031637717075935425
950,0.69761,18,0,0.70696,0.6982408333333333,0.69761,0.0013851170728698598
1000,0.69761,19,0,0.69986,0.6979354347826087,0.69763,0.00044754259705806157
1050,0.69761,20,0,0.71838,0.6986036170212766,0.69761,0.0037204955203785817
1100,0.69761,21,0,0.71837,0.6982931250000001,0.69761,0.0029670735836917882
1150,0.69761,22,0,0.69999,0.6978787234042553,0.69761,0.0004768942833976385
1200,0.6976,23,0,0.69962,0.6978414285714286,0.6976,0.00036106983891129644
1250,0.6976,24,0,0.6995,0.6977980000000001,0.69761,0.0003128514024261397
1300,0.6976,25,0,0.7012,0.6978,0.69761,0.0005282315509590242
1350,0.6976,26,0,0.69981,0.6978104166666667,0.6976,0.0004700530038079609
1400,0.6976,27,0,0.69886,0.6977685416666667,0.6976,0.0002976434498924731
1450,0.6976,28,0,0.69898,0.6977172916666667,0.6976,0.0002171763836084081
1500,0.6976,29,0,0.69928,0.6977453191489361,0.6976,0.0003069538122011362
1550,0.6976,30,0,0.69871,0.6977108163265305,0.6976,0.00019258538243949576
1600,0.6976,31,0,0.69795,0.6976570212765957,0.6976,7.049716739796067e-05
1650,0.6976,32,0,0.70073,0.6977183333333334,0.6976,0.0004446971503793931
1700,0.6976,33,0,0.70133,0.6977538,0.6976,0.0005294823509806571
1750,0.6976,34,0,0.69887,0.6977058333333334,0.6976,0.00021252287458582283
1800,0.6976,35,0,0.70012,0.6977144897959184,0.6976,0.00035739454688169377
1850,0.6976,36,0,0.70839,0.6978806122448978,0.6976,0.0015251007436288917
1900,0.6976,37,0,0.69811,0.6976464583333333,0.6976,7.589712289599292e-05
1950,0.6976,38,0,0.70753,0.6978620000000001,0.6976,0.0013863462770895311
2000,0.6976,39,0,0.69859,0.6976744897959184,0.6976,0.00017256836828518927
2050,0.6976,40,0,0.70685,0.6979938775510205,0.6976,0.0017003730879037865
2100,0.6976,41,0,0.70002,0.69769375,0.6976,0.0003451667773217243
2150,0.69759,42,0,0.69846,0.6976667999999999,0.69759,0.00017279398137666106
2200,0.69759,43,0,0.69783,0.6976330000000001,0.69759,3.7536648758244386e-05
